Module,Path,baseline,node22,node20,node18,bun,deno,workerd,wranglerV3,wranglerUnenv
*globals*,WebAssembly.*self*,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,WebAssembly.CompileError,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,WebAssembly.Exception,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,WebAssembly.Global,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,WebAssembly.Instance,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,WebAssembly.JSTag.*self*,supported,supported,unsupported,unsupported,unsupported,supported,supported,supported,supported
*globals*,WebAssembly.LinkError,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,WebAssembly.Memory,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,WebAssembly.Module,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,WebAssembly.RuntimeError,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,WebAssembly.Table,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,WebAssembly.Tag,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,WebAssembly.compile,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,WebAssembly.compileStreaming,supported,supported,supported,supported,unsupported,supported,unsupported,unsupported,unsupported
*globals*,WebAssembly.instantiate,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,WebAssembly.instantiateStreaming,supported,supported,supported,supported,unsupported,supported,unsupported,unsupported,unsupported
*globals*,WebAssembly.validate,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,WebSocket,supported,supported,unsupported,unsupported,supported,supported,supported,supported,supported
*globals*,WritableStream,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,WritableStreamDefaultController,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,WritableStreamDefaultWriter,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,atob,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,btoa,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,clearImmediate,supported,supported,supported,supported,supported,unsupported,supported,unsupported,unsupported
*globals*,clearInterval,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,clearTimeout,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,console.*self*,supported,supported,supported,supported,supported,supported,supported,supported,supported
*globals*,console.Console,supported,supported,supported,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._ignoreErrors,supported,supported,supported,supported,unsupported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr.*self*,supported,supported,supported,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr._bytesDispatched,supported,supported,supported,supported,unsupported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr._closeAfterHandlingError,supported,supported,supported,supported,unsupported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr._connecting,supported,supported,supported,supported,unsupported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr._destroy,supported,supported,supported,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr._events,supported,supported,supported,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr._eventsCount,supported,supported,supported,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr._final,supported,supported,supported,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr._getpeername,supported,supported,supported,supported,unsupported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr._getsockname,supported,supported,supported,supported,unsupported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr._hadError,supported,supported,supported,supported,unsupported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr._handle,supported,supported,supported,supported,unsupported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr._host,supported,supported,supported,supported,unsupported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr._isStdio,supported,supported,supported,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr._maxListeners,supported,supported,supported,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr._onTimeout,supported,supported,supported,supported,unsupported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr._parent,supported,supported,supported,supported,unsupported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr._pendingData,supported,supported,supported,supported,unsupported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr._pendingEncoding,supported,supported,supported,supported,unsupported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr._read,supported,supported,supported,supported,unsupported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr._readableState,supported,supported,supported,supported,unsupported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr._reset,supported,supported,supported,supported,unsupported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr._server,supported,supported,supported,supported,unsupported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr._sockname,supported,supported,supported,supported,unsupported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr._type,supported,supported,supported,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr._undestroy,supported,supported,supported,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr._unrefTimer,supported,supported,supported,supported,unsupported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr._writableState,supported,supported,supported,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr._write,supported,supported,supported,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr._writeGeneric,supported,supported,supported,supported,unsupported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr._writev,supported,supported,supported,supported,mismatch,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr.addListener,supported,supported,supported,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr.address,supported,supported,supported,supported,unsupported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr.allowHalfOpen,supported,supported,supported,supported,unsupported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr.asIndexedPairs,supported,unsupported,supported,supported,unsupported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr.bufferSize,supported,supported,supported,supported,unsupported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr.bytesRead,supported,supported,supported,supported,unsupported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr.bytesWritten,supported,supported,supported,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr.closed,supported,supported,supported,supported,supported,unsupported,unsupported,unsupported,unsupported
*globals*,console._stderr.compose,supported,supported,supported,supported,unsupported,unsupported,unsupported,unsupported,unsupported
